Compound,Date,Negative,Neutral,Positive,Tweet,Tweets_Ago,User
0.4588,Sun Jan 28 22:00:03 +0000 2018,0.833,0.0,0.167,"🔧 These clever, tool-making crows have allowed us to see the first foundations of a technological breakthrough. https://t.co/pgtZqphSSE",1,@BBC
0.3903,Sun Jan 28 21:00:07 +0000 2018,0.872,0.0,0.128,"It took nearly three minutes to do this maths trick… but the payoff was 100% worth it! 😂

#QI https://t.co/J70MZ39DdI",2,@BBC
0.3612,Sun Jan 28 20:30:03 +0000 2018,0.848,0.0,0.152,⛸ Canadian-based dance collective Le Patin Libre use ice in daring and dazzling new ways.… https://t.co/bt7AUqNpMJ,3,@BBC
-0.6166,Sun Jan 28 19:30:05 +0000 2018,0.533,0.331,0.136,This is the inspiring story of how Alex is saying NO to bullying. https://t.co/3LTbjXcSJw,4,@BBC
-0.5267,Sun Jan 28 19:03:04 +0000 2018,0.841,0.159,0.0,"Tonight, @ChrisGPackham searches for a tribal girl he met in 1998 whose jungle home is under threat. 

Chris Packha… https://t.co/5GOKSs6HEq",5,@BBC
-0.128,Sun Jan 28 18:30:10 +0000 2018,0.927,0.073,0.0,"🌽🍆 Whether you’re a veggie household or simply cutting down on your meat intake, here are ten veggie classics that… https://t.co/8wlUIGenAF",6,@BBC
0.0,Sun Jan 28 18:00:06 +0000 2018,1.0,0.0,0.0,"🍽😲 Fancy breakfast in bed with a giraffe?

#AmazingHotels https://t.co/VaqLUnPY0H",7,@BBC
0.0,Sun Jan 28 17:30:07 +0000 2018,1.0,0.0,0.0,"In 2002, Iiberian lynx were the rarest cats in the world. 

Now up to 500 roam wild in Spain and Portugal once agai… https://t.co/QuOHpGPVe8",8,@BBC
0.0,Sun Jan 28 17:00:04 +0000 2018,1.0,0.0,0.0,"From Ariel to the arial bars, these mermaids have crawled out of the ocean and on to the floor. 🤸 https://t.co/gjASMN8PzL",9,@BBC
0.6486,Sun Jan 28 16:30:06 +0000 2018,0.782,0.0,0.218,"😂 From royal news to surfing dogs, here are 13 times @BBCSimonMcCoy was the news gift that kept on giving. 
👉… https://t.co/C6Ic1q6lZH",10,@BBC
0.9052,Sun Jan 28 16:00:08 +0000 2018,0.554,0.0,0.446,"Mitch's life was changed forever, but thanks to a special gift, he can still chase his goals. ♿💈https://t.co/NNlWa4deRy",11,@BBC
0.7096,Sun Jan 28 15:30:08 +0000 2018,0.688,0.0,0.312,"⚡Do you know how to use a defibrillator?

This video could help you save a life. https://t.co/wOkfddUbqB",12,@BBC
0.0,Sun Jan 28 15:00:06 +0000 2018,1.0,0.0,0.0,"👨❤️️🐧 'A man needs his 'guins.' 

@DavidKHarbour is about to go dancing with penguins. 
👉 https://t.co/X8GuJOVwST https://t.co/BfBulvLfjB",13,@BBC
0.0772,Sun Jan 28 14:30:09 +0000 2018,0.939,0.0,0.061,"Don't judge a zebra by its stripes.

DNA evidence challenges the idea that we can tell subspecies apart based on va… https://t.co/J7x6N0fY0f",14,@BBC
0.0,Sun Jan 28 14:19:18 +0000 2018,1.0,0.0,0.0,"RT @BBCBreakfast: Singer and rapper, @CraigDavid says he has learnt a lot during his 17 years in the music industry and 'living in the mome…",15,@BBC
0.0,Sun Jan 28 14:17:42 +0000 2018,1.0,0.0,0.0,RT @bbcthesocial: Mind blown 😱 https://t.co/eIuR72Tyzn,16,@BBC
0.4215,Sun Jan 28 14:17:35 +0000 2018,0.833,0.0,0.167,RT @bbcthree: Michelle is different from your average 20-year-old but she's ok with that. https://t.co/Yv3aOHsBlK,17,@BBC
0.0,Sun Jan 28 14:00:07 +0000 2018,1.0,0.0,0.0,"🥁 How do rock stars and artists spend their leisure time?

Here are some of the pursuits that keep our favourite cr… https://t.co/e56TG1pKKc",18,@BBC
0.0,Sun Jan 28 13:00:13 +0000 2018,1.0,0.0,0.0,"Why do people long for predictions in exactly the areas that are unpredictable? 🤔
https://t.co/7o3VCZyQXR",19,@BBC
0.0,Sun Jan 28 12:53:44 +0000 2018,1.0,0.0,0.0,"RT @BBCSpringwatch: Look how still this kingfisher keeps it head while hunting, incredible! #Winterwatch https://t.co/QW8saez9Qo",20,@BBC
0.4588,Sun Jan 28 22:00:03 +0000 2018,0.833,0.0,0.167,"🔧 These clever, tool-making crows have allowed us to see the first foundations of a technological breakthrough. https://t.co/pgtZqphSSE",21,@BBC
0.3903,Sun Jan 28 21:00:07 +0000 2018,0.872,0.0,0.128,"It took nearly three minutes to do this maths trick… but the payoff was 100% worth it! 😂

#QI https://t.co/J70MZ39DdI",22,@BBC
