Compound,Date,Negative,Neutral,Positive,Tweet,Tweets_Ago,User
0.0,Mon Jan 29 05:34:44 +0000 2018,1.0,0.0,0.0,"Relive @LuisFonsi, @daddy_yankee, and @zuleyka_rivera's electric performance of 'Despacito' that lit up the… https://t.co/9m1mytX9VW",1,@CBS
0.0,Mon Jan 29 04:19:55 +0000 2018,1.0,0.0,0.0,We caught up with @imjmichaels on the #GRAMMYs red carpet and learned all about how @IBM is using Watson and AI to… https://t.co/sJpn44xPnV,2,@CBS
0.8779,Mon Jan 29 04:12:46 +0000 2018,0.641,0.0,0.359,"It was real y'all. Congratulations to everyone who won and all who were nominated. Finally, thank you to everyone w… https://t.co/jqBkGTtEyM",3,@CBS
0.7959,Mon Jan 29 04:10:47 +0000 2018,0.706,0.0,0.294,Drippin' in finesse 🙌 @BrunoMars wins Album Of The Year at The #GRAMMYs! See all of the winners here:… https://t.co/BK4bF9ggSI,4,@CBS
0.5859,Mon Jan 29 03:58:49 +0000 2018,0.513,0.0,0.487,That. Performance. Wow. #GRAMMYs https://t.co/rDg37rzQvn,5,@CBS
0.6696,Mon Jan 29 03:55:24 +0000 2018,0.848,0.0,0.152,"RT @CBSNews: ""My father, if you are watching this dad, I love you. Look at me, pop, look at me, I'm at the #Grammys right now!"" @BrunoMars…",6,@CBS
-0.34,Mon Jan 29 03:55:20 +0000 2018,0.888,0.112,0.0,"RT @CBSNews: .@HillaryClinton makes an appearance at #Grammys during a reading of ""Fire and Fury."" The book details President Trump's first…",7,@CBS
0.0572,Mon Jan 29 03:53:06 +0000 2018,0.864,0.062,0.073,You don't want to miss a moment of The #GRAMMYs. Watch now on CBS and CBS All Access: https://t.co/rtZ7sSGFOC https://t.co/oVvgF0CNLr,8,@CBS
0.6114,Mon Jan 29 03:50:25 +0000 2018,0.688,0.0,0.312,"RT @TheSaraNoH: Thank you @RecordingAcad for helping to keep music in schools! 

#GRAMMYs",9,@CBS
0.5994,Mon Jan 29 03:49:19 +0000 2018,0.606,0.0,0.394,RT @pawprintedzoe: Music is a beautiful thing #Grammys,10,@CBS
0.4588,Mon Jan 29 03:46:27 +0000 2018,0.727,0.0,0.273,What was your favorite #GRAMMY moment from tonight? https://t.co/x3q4ZhltV9,11,@CBS
0.8118,Mon Jan 29 03:45:43 +0000 2018,0.749,0.0,0.251,24K Magic is in the air at the 60th Annual #GRAMMYs! @BrunoMars wins Record Of The Year! See all of the winners her… https://t.co/jGaqsvQt7W,12,@CBS
0.6696,Mon Jan 29 03:37:35 +0000 2018,0.522,0.0,0.478,RT @CBSTweet: Cute family alert! @pink 💕 #GRAMMYs https://t.co/isveVC8aoJ,13,@CBS
0.0,Mon Jan 29 03:37:27 +0000 2018,1.0,0.0,0.0,"Slay all day, @sza! #GRAMMYs https://t.co/h1oCVMZE55",14,@CBS
0.5859,Mon Jan 29 03:34:36 +0000 2018,0.817,0.0,0.183,CBS Stars @shemarmoore from @swatcbs and @TheRealEve from @TheTalkCBS charming the crowd at The 60th Annual #GRAMMYs https://t.co/HLnRBE2rFW,15,@CBS
0.0,Mon Jan 29 03:27:04 +0000 2018,1.0,0.0,0.0,"RT @Jordan_Roth: And THAT is how it’s done, kids. #Patti #GRAMMYs",16,@CBS
0.0,Mon Jan 29 03:25:53 +0000 2018,1.0,0.0,0.0,💃💃💃 https://t.co/VZB0QEbajw,17,@CBS
-0.5267,Mon Jan 29 03:25:26 +0000 2018,0.702,0.298,0.0,RT @AnnaKendrick47: Punish me with those vocals @BenSPLATT 😵 #GRAMMYs,18,@CBS
0.1139,Mon Jan 29 03:24:02 +0000 2018,0.929,0.0,0.071,"Blue Ivy doesn't wanna miss a minute of the action. 🤫 

Watch The #GRAMMYs now on CBS and CBS All Access:… https://t.co/26zRlvLKgl",19,@CBS
0.0,Mon Jan 29 03:20:49 +0000 2018,1.0,0.0,0.0,The #GRAMMYs is a family affair...or is it? https://t.co/ohPdzp8jIZ,20,@CBS
