Compound,Date,Negative,Neutral,Positive,Tweet,Tweets_Ago,User
-0.9517,Mon Jan 29 06:05:02 +0000 2018,0.385,0.57,0.045,"Myanmar’s military has a long history of murdering civilians, torturing and executing prisoners, committing rape, c… https://t.co/l863oU2K0r",1,@nytimes
0.3612,Mon Jan 29 05:50:04 +0000 2018,0.912,0.0,0.088,"RT @peterbakernyt: “The China One Belt, One Road is going to be the new WTO — like it or not"": While Trump talked at Davos, Beijing was the…",2,@nytimes
0.0,Mon Jan 29 05:35:49 +0000 2018,1.0,0.0,0.0,See this year's Oscar nominees and make your picks https://t.co/pXPI9wDE3o https://t.co/KYFMGquxJ1,3,@nytimes
0.0,Mon Jan 29 05:19:35 +0000 2018,1.0,0.0,0.0,"Get our Grammys analysis and the latest in pop music news with Louder, @nytimesmusic's weekly newsletter: https://t.co/7mbiR4vX4I",4,@nytimes
0.2023,Mon Jan 29 05:07:21 +0000 2018,0.913,0.0,0.087,"The L.A. Times is expected to replace its top editor, Lewis D'Vorkin, with the Chicago Sun-Times veteran Jim Kirk https://t.co/DgtlkJfeRQ",5,@nytimes
0.0772,Mon Jan 29 05:01:46 +0000 2018,0.92,0.0,0.08,Want to watch a documentary on Netflix that won't bum you out? We've got you covered. https://t.co/ndzyH3euTS,6,@nytimes
-0.5719,Mon Jan 29 04:46:06 +0000 2018,0.829,0.171,0.0,"Hillary Clinton made an unexpected cameo at the Grammys, reading from a book about chaos in the Trump administration https://t.co/5tpvkilyfA",7,@nytimes
0.0,Mon Jan 29 04:36:03 +0000 2018,1.0,0.0,0.0,Photos from the Grammys red carpet https://t.co/1pDDAGYUrl https://t.co/TIrCovXzxO,8,@nytimes
0.0,Mon Jan 29 04:26:07 +0000 2018,1.0,0.0,0.0,"Fact Check: President Trump bragged to Jay-Z about black employment. Is he right?
 https://t.co/QC2ILA8Ong",9,@nytimes
0.5719,Mon Jan 29 04:06:36 +0000 2018,0.856,0.0,0.144,Bruno Mars won album of the year for “24K Magic” at the Grammys. Women of the music industry came together for a… https://t.co/o9GpnT9ID7,10,@nytimes
0.4767,Mon Jan 29 04:05:02 +0000 2018,0.744,0.0,0.256,The complete list of winners at the 2018 Grammys https://t.co/0eIY0HZuqH,11,@nytimes
0.5719,Mon Jan 29 04:02:16 +0000 2018,0.829,0.0,0.171,"The NYT review of Bruno Mars's ""24K Magic,"" which just won the Grammy for Album of the Year https://t.co/M35nv9VViZ",12,@nytimes
0.0,Mon Jan 29 03:53:04 +0000 2018,1.0,0.0,0.0,"Janelle Monae: ""Just as we have the power to shape culture, we also have the power to undo a culture that does not… https://t.co/NvbrxH8egg",13,@nytimes
0.0,Mon Jan 29 03:45:45 +0000 2018,1.0,0.0,0.0,RT @melbournecoal: BREAK: Jim Kirk named editor in chief of the Los Angeles Times. Lewis D'Vorkin becomes chief content officer of Tronc. h…,14,@nytimes
0.0,Mon Jan 29 03:45:37 +0000 2018,1.0,0.0,0.0,RT @kimseverson: Things between @chefjoseandres and @IvankaTrump might not be as patched up as it seemed. https://t.co/D7C1wxyEaQ,15,@nytimes
-0.5994,Mon Jan 29 03:39:55 +0000 2018,0.786,0.214,0.0,"Janelle Monae: ""We say time’s up for pay inequality, time’s up for discrimination, time’s up for harassment of any… https://t.co/lv85cIzzRh",16,@nytimes
0.0,Mon Jan 29 03:29:05 +0000 2018,1.0,0.0,0.0,"TFW you're on the red carpet with SZA

Here's the story, about how SZA's “Ctrl” emerged as one of the year’s most c… https://t.co/TpAB53eS8Z",17,@nytimes
